BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,
Police State.nlogo,,,,,,,,,
experiment,,,,,,,,,
06/14/2021 00:57:13:291 +0200,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,
-16,16,-16,16,,,,,,
[run number],Policemen-density,Jail-max-capacity,Criminals-density,Jail?,[step],count citizens with [color = green],"count citizens with [shape = ""face happy""]",1000 - count citizens,
2,10,100,10,true,2000,304,621,149,
12,10,100,10,false,2000,260,763,237,
11,10,100,10,false,2000,289,765,235,
7,10,100,10,true,2000,239,623,190,
9,10,100,10,true,2000,346,598,130,
6,10,100,10,true,2000,180,625,177,
1,10,100,10,true,2000,253,636,164,
10,10,100,10,true,2000,267,579,184,
5,10,100,10,true,2000,175,616,181,
8,10,100,10,true,2000,215,607,177,
3,10,100,10,true,2000,150,579,190,
4,10,100,10,true,2000,161,603,187,
21,15,100,10,true,2000,899,403,66,
23,15,100,10,true,2000,898,302,69,
24,15,100,10,true,2000,917,614,55,
22,15,100,10,true,2000,853,661,66,
13,10,100,10,false,2000,212,761,239,
18,10,100,10,false,2000,390,784,216,
16,10,100,10,false,2000,368,791,209,
15,10,100,10,false,2000,344,773,227,
14,10,100,10,false,2000,425,790,210,
17,10,100,10,false,2000,331,765,234,
19,10,100,10,false,2000,262,754,246,
20,10,100,10,false,2000,394,795,198,
26,15,100,10,true,2000,925,259,53,
25,15,100,10,true,2000,910,381,65,
27,15,100,10,true,2000,887,228,82,
28,15,100,10,true,2000,913,219,64,
29,15,100,10,true,2000,924,407,54,
30,15,100,10,true,2000,917,604,53,best ratioÂ !
32,15,100,10,false,2000,397,767,233,
34,15,100,10,false,2000,409,770,219,
31,15,100,10,false,2000,494,813,187,
33,15,100,10,false,2000,451,804,196,
35,15,100,10,false,2000,610,847,153,
36,15,100,10,false,2000,521,799,200,
37,15,100,10,false,2000,490,790,205,
38,15,100,10,false,2000,474,782,217,
39,15,100,10,false,2000,640,849,151,
40,15,100,10,false,2000,530,809,188,
